iztočnica|besedna vrsta|številka pomena|indikator
ribariti|glagol|1|loviti ribe
ribariti|glagol|2|iskati, brskati
veslati|glagol|1|premikati plovilo z vesli
veslati|glagol|2|plavati
veslati|glagol|3|leteti
čarovnica|samostalnik|1|pravljično bitje
čarovnica|samostalnik|2|ženska, obsojena čarovništva
čarovnica|samostalnik|3|ženska
zamorka|samostalnik|1|ženska črne rase
zamorka|samostalnik|2|o zmerjavki
črnoborzijanec|samostalnik|1|kdor nezakonito trguje s čim
azijski|pridevnik|1|o celini
glicerol|samostalnik|1|kemijska spojina
olefin|samostalnik|1|nenasičeni ogljikovodik
dolgorepka|samostalnik|1|ptica
čital|samostalnik|1|jelen
belorepec|samostalnik|1|ptica ujeda
alkalija|samostalnik|1|kemijska spojina
epileptik|samostalnik|1|oseba z epilepsijo
frigidnost|samostalnik|1|spolna motnja
akrobatka|samostalnik|1|izvajalka akrobacij
albinizem|samostalnik|1|genetska bolezen
aluvij|samostalnik|1|geološka doba
aluvij|samostalnik|2|naplavina
anesteziologinja|samostalnik|1|zdravnica
asepsa|samostalnik|1|kirurška tehnika
anesteziolog|samostalnik|1|zdravnik
akordeon|samostalnik|1|glasbilo
amputiranec|samostalnik|1|kdor izgubi ud
antiepileptik|samostalnik|1|zdravilo
zobotehnica|samostalnik|1|poklic
antiseptik|samostalnik|1|sredstvo za razkuževanje
dežemer|samostalnik|1|merilni instrument
krastača|samostalnik|1|dvoživka
metanol|samostalnik|1|alkohol
garje|samostalnik|1|nalezljiva kožna bolezen
alken|samostalnik|1|nenasičeni ogljikovodik
oksidant|samostalnik|1|snov
sobolj|samostalnik|1|kuna
soboljevka|samostalnik|1|riba
ugor|samostalnik|1|morska riba
vahnja|samostalnik|1|morska riba
ladinka|samostalnik|1|školjka
strigoš|samostalnik|1|hrošč
golič|samostalnik|1|ptičji mladič
kozliček|samostalnik|1|kozji mladič
sifilis|samostalnik|1|bolezen
jesen|samostalnik|1|drevo
avokadovec|samostalnik|1|drevo
borovec|samostalnik|1|drevo
forzicija|samostalnik|1|grm
octovec|samostalnik|1|drevo ali grm
forsitija|samostalnik|1|grm
metanoat|samostalnik|1|kemijska spojina
metanal|samostalnik|1|plin
predkambrij|samostalnik|1|geološka doba
tribus|samostalnik|1|upravna enota v starem Rimu
propen|samostalnik|1|ogljikovodik
vilorog|samostalnik|1|žival
kirnja|samostalnik|1|morska riba
trske|samostalnik|1|družina morskih rib
postojna|samostalnik|1|ptica ujeda
kinin|samostalnik|1|zdravilo
bikarbonat|samostalnik|1|kemijska spojina
depresija|samostalnik|1|mentalno stanje ali bolezen
depresija|samostalnik|2|obdobje po gospodarski krizi
depresija|samostalnik|3|del kopnega
depresija|samostalnik|4|vremenski pojav
javor|samostalnik|1|drevo
javor|samostalnik|2|les
tetanus|samostalnik|1|bolezen
gangrena|samostalnik|1|odmrtje tkiva
spinet|samostalnik|1|glasbilo
